Input_name	Refmet	LipidlynxX	MetaboAnalyst
TG 53:2	TG 53:2	TG(53:2)	TG(17:2(9Z,12Z)/18:0/18:0)
TG 53:3	TG 53:3	TG(53:3)	TG(53:3)
TG 53:4	TG 53:4	TG(53:4)	TG(53:4)
TG 53:5	TG 53:5	TG(53:5)	TG(53:5)
TG 54:3	TG 54:3	TG(54:3)	TG(18:1(9Z)/18:1(9Z)/18:1(9Z))
TG 54:4	TG 54:4	TG(54:4)	TG(54:4)
TG 54:5	TG 54:5	TG(54:5)	TG(18:1(9Z)/18:1(9Z)/18:3(9Z,12Z,15Z))
TG 54:7	TG 54:7	TG(54:7)	TG(54:7)
TG 55:1	TG 55:1	TG(55:1)	TG(55:1)
TG 56:1	TG 56:1	TG(56:1)	TG(18:0/18:1(9Z)/20:0)
TG 56:3	TG 56:3	TG(56:3)	TG(18:1(9Z)/18:1(9Z)/20:1(11Z))
TG 56:4	TG 56:4	TG(56:4)	TG(18:1(9Z)/18:2(9Z,12Z)/20:1(11Z))
TG 56:5	TG 56:5	TG(56:5)	TG(18:2(9Z,12Z)/18:2(9Z,12Z)/20:1(11Z))
TG 56:6	TG 56:6	TG(56:6)	TG(18:2(9Z,12Z)/18:2(9Z,12Z)/20:2(11Z,14Z))
TG 56:7	TG 56:7	TG(56:7)	TG(18:2(9Z,12Z)/18:2(9Z,12Z)/20:3(8Z,11Z,14Z))
TG 56:8	TG 56:8	TG(56:8)	TG(56:8)
TG 58:10	TG 58:10	TG(58:10)	TG(18:2(9Z,12Z)/20:4(5Z,8Z,11Z,14Z)/20:4(5Z,8Z,11Z,14Z))
TG 58:6	TG 58:6	TG(58:6)	TG(18:1(9Z)/20:1(11Z)/20:4(5Z,8Z,11Z,14Z))
TG 58:8	TG 58:8	TG(58:8)	TG(18:0/20:4(5Z,8Z,11Z,14Z)/20:4(5Z,8Z,11Z,14Z))
TG 58:9	TG 58:9	TG(58:9)	TG(18:1(9Z)/20:4(5Z,8Z,11Z,14Z)/20:4(5Z,8Z,11Z,14Z))
TG 60:11	TG 60:11	TG(60:11)	TG(60:11)
TG 60:12	TG 60:12	TG(60:12)	TG(60:12)
PC 17:0_18:2	PC 17:0_18:2	PC(17:0_18:2)	PC(17:0_18:2)
PC 18:0_18:1	PC 18:0_18:1	PC(18:0_18:1)	PC(18:0_18:1)
PC 18:0_22:5	PC 18:0_22:5	PC(18:0_22:5)	PC(18:0_22:5)
PC 18:1_20:3	PC 18:1_20:3	PC(18:1_20:3)	PC(18:1_20:3)
PC 18:1_20:4	PC 18:1_20:4	PC(18:1_20:4)	PC(18:1_20:4)
PC 20:1_18:2	PC 18:2_20:1	PC(18:2_20:1)	PC(18:2_20:1)
