"LIPID","C1_HOMBRE","C2_HOMBRE","C3_HOMBRE","C4_HOMBRE","C5_HOMBRE","C6_HOMBRE","C1_MUJER","C2_MUJER","C3_MUJER","C4_MUJER","C5_MUJER","C6_MUJER","ET1_HOMBRE","ET2_HOMBRE","ET3_HOMBRE","ET4_HOMBRE","ET5_HOMBRE","ET6_HOMBRE","ET1_MUJER","ET2_MUJER","ET3_MUJER","ET4_MUJER","ET5_MUJER"
"FA-EST 18:0_9:0",-0.329886435,-0.161582945,0.053742408,-0.056784629,-0.260466575,-0.1211023325,0.1335716225,-0.032198905,0.41561318,NA,0.310550685,0.432269095,-0.1568861,0.5183115,0.341620445,0.59973526,0.059112548,0.537340165,-0.00685215,-0.640316975,-0.2840662,0.32976341,-0.161335945
"FA-EST 18:1_18:0",-0.30161858,-0.035085678,0.24459076,-0.00227356,-0.3817196,0,0.21442795,-0.17347145,0.07183647,-0.3527336,-0.1318779,0.16199875,-0.182724,0.1471653,0.10182762,NA,-0.17817116,0.59301186,0.027341843,NA,-0.38570976,0.18018532,-0.13210869
"FA-EST 2:0_18:0",-0.37345505,-0.10692215,0.17275429,-0.07411003,-0.45355606,-0.07183647,0.14259148,-0.24530792,0,-0.42457008,NA,0.09016228,-0.25456047,0.07532883,0.02999115,0.5638752,-0.25000763,0.5211754,NA,1.4668846,-0.45754623,0.10834885,-0.20394516
"FA16:1",0.1089754,0.021969795,0.0826494999999987,0.10614776,0.05447007,0.222284499999999,0.056300165,-0.1261692035,-0.14121914,NA,-0.209884645,0.0066041945,0.21551132,0.4743765,0.44782257,0.897917,-0.0906805000000013,0.950941065,-0.22274399,1.3082905,-0.266755102,0.58866785,NA
"FA16:2",7.38513803,7.088514635,NA,-0.315976128,6.949294,-0.398927685,7.4269495,NA,5.83474968,-0.60963441,-0.651989935,-0.331054685,7.273438045,7.176110625,0.11369419,0.46334075,-0.57897948,0.630763993,-0.59583567,0.64259719,5.9191356,0.000779154999999976,6.83783584
"FA16:4",-0.05187416,0.09778786,-0.04043579,-0.002803803,-0.09518242,0.15646744,NA,0.09242821,0.41767693,-0.08913994,0.37979698,0.2747898,-0.013742447,0.13733864,-20.271406,0.8179989,-20.551405,0.6437702,0,NA,-0.11573601,0.41308975,0.1359539
"FA16:5",15.446272,-0.67079735,-0.3911209,-0.6379852,-1.0174313,14.810985,-0.42128372,15.432613,16.440641,15.580074,17.262953,-0.47371292,-0.81843567,-0.48854637,15.893919,0,16.432402,16.733013,-0.6083698,0.9030094,NA,-0.45552635,-0.76782036
"FA17:0",-0.1592483535,-0.0548477175,0.119873047,0,-0.10843277,NA,0.35206795,0.0859766,0.165950775,NA,0.187371255,0.2108421375,-0.31935692,0.416604995,0.291399,-0.566211715,-0.44929218,0.528413775,-0.7733717,-1.210286125,-0.386743545,0.154824255,-0.209492685
"FA17:1",0.77508545,0.27239037,0.07353592,0.3636303,0.88751984,0.6966362,-0.14931679,-0.17298698,-0.40463448,-0.252203,-0.40880013,-0.28775978,-0.39781952,1.0725937,-0.6142254,1.19767,0.25034142,0.53915405,-0.51091766,0,-0.9097252,0.45258713,-0.46058655
"FA18:0",-0.018983841,NA,0.13123131,-0.102127075,NA,-0.16199875,0.0524292,-0.16194153,0.4019909,-0.48393822,-0.005271912,0.54019547,-0.34472275,0.19639778,0.36501884,0.47371292,-0.047107697,1.0287247,-0.1346569,NA,-0.32901764,0.1706028,0.104278564
